"site","LON","LAT","YEAR","MO","DY","HR","T2M","T2MDEW","PRECTOTCORR","ALLSKY_SFC_SW_DWN","WS10M"
"US-xSE",-76.56,38.8901,2001,1,12,10,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,11,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,12,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,13,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,14,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,15,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,16,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,17,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,18,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,19,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,20,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,21,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,22,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,12,23,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,0,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,1,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,2,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,3,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,4,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,5,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,6,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,7,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,8,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,9,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,10,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,11,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,12,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,13,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,14,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,15,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,16,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,17,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,18,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,19,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,20,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,21,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,22,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,13,23,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,0,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,1,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,2,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,3,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,4,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,5,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,6,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,7,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,8,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,9,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,10,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,11,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,12,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,13,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,14,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,15,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,16,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,17,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,18,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,19,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,14,20,NA,NA,NA,NA,NA
